z-score,corr thresholds,corr selection method,total sr,in-sample sr,out-sample sr
1.0,"(0.9, 0.8)",MAX CORR,-0.3717338636741059,-1.297334256708883,1.0546841976656487
1.0,"(0.9, 0.8)",MIN CORR,0.1142127766580647,-1.018646344693364,1.5371826700310054
1.0,"(0.95, 0.9)",MAX CORR,-0.4892215342413774,-1.163891819294558,0.5284545878356762
1.0,"(0.95, 0.9)",MIN CORR,-0.7375054438615923,-1.4198089261339333,0.1997281373023924
1.5,"(0.9, 0.8)",MAX CORR,0.1867327756008611,-0.7954823975767665,1.5774769121663283
1.5,"(0.9, 0.8)",MIN CORR,0.5228384119447201,-0.5043685241038286,1.6928971105208044
1.5,"(0.95, 0.9)",MAX CORR,-0.1418844184288331,-0.9705392342624884,1.0925081240123091
1.5,"(0.95, 0.9)",MIN CORR,-0.4702312085355486,-1.5578793881644937,1.1037596078092082
2.0,"(0.9, 0.8)",MAX CORR,0.3177105021000088,-0.4448361214032431,1.26637499557284
